score_card,metric,metric_label,value,ci95_low,ci95_high,n,higher_is_better,source_table,caveat,interpretation,threshold,dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,is_near_99
Best Balanced Accuracy,balanced_accuracy,Balanced Accuracy,0.7575655132525954,0.7575655132525954,0.7575655132525954,1.0,True,dashboard_thresholds.csv,Balanced accuracy averages sensitivity and specificity so the negative class cannot dominate the score.,This is a fairer accuracy-style score for imbalanced diabetes prediction.,0.1092,cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,False
Best Brier Score,brier,Brier,0.0969991087858561,0.09642476835331977,0.09757344921839244,3.0,False,dashboard_metrics.csv,"For Brier score, lower is better because it measures probability error.",This shows the best probability-estimation slice among the current runs.,0.23729999999999998,cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,False
Best Calibration Error,ece,ECE,0.0033238179050167336,0.0016831652087819767,0.004964470601251491,3.0,False,dashboard_metrics.csv,"For ECE, lower is better. A very small value means probability estimates match observed rates well.","This is a probability-quality score, not a classification accuracy score.",0.23713333333333333,cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,False
Best F1 Operating Point,f1,F1,0.4732338745063624,0.4732338745063624,0.4732338745063624,1.0,True,dashboard_thresholds.csv,"F1 balances precision and recall, so it is usually more informative than raw accuracy under imbalance.",This is the strongest decision threshold for catching positives without ignoring false alarms.,0.2119,cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,False
Best Overall Accuracy,accuracy,Accuracy,0.8670175023651845,0.8670175023651845,0.8670175023651845,1.0,True,dashboard_thresholds.csv,"Overall accuracy is useful, but can look high on imbalanced data because the majority class can dominate.",This is the highest legitimate thresholded accuracy found in the existing sweep.,0.4696,cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,False
Best PR AUC,pr_auc,PR AUC,0.4289174362474604,0.42343406468057215,0.4344008078143487,3.0,True,dashboard_metrics.csv,PR AUC is usually harder than ROC AUC on imbalanced diabetes data.,This is the best precision-recall ranking result across the saved runs.,0.21513333333333332,cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,sigmoid,calib_f1_optimal,False
Best ROC AUC,roc_auc,ROC AUC,0.8296591516550134,0.8265086608668573,0.8328096424431695,3.0,True,dashboard_metrics.csv,"ROC AUC is threshold-independent ranking quality, not percent-correct accuracy.",This is the best ranking result across the saved current-dataset runs.,0.21513333333333332,cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,sigmoid,calib_f1_optimal,False
Best Selected-Threshold Specificity,specificity,Specificity,0.85961939221838,,,,True,dashboard_confusion.csv,This specificity is computed from the saved selected-threshold confusion matrix.,It confirms whether the deployed threshold avoids false positives for non-diabetic cases.,0.2463666666666667,cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,False
Cross-Client Feature Overlap,top_k_overlap,Top-k Overlap,1.0,1.0,1.0,3.0,True,dashboard_stability.csv,Near-99 overlap means clients emphasize similar top features; it is not prediction accuracy.,This shows whether explanations agree across federated clients.,,cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,True
Explanation Stability,spearman_top_feature_stability,Explanation Stability,1.0,1.0,1.0,1.0,True,dashboard_stability.csv,Near-99 stability means feature rankings are consistent; it is not prediction accuracy.,This supports the interpretability part of the trustworthiness claim.,,cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,True
High Precision View,precision,Precision,0.9365079365079364,0.8120634920634919,1.0609523809523809,3.0,True,dashboard_thresholds.csv,High precision can occur at strict thresholds that predict fewer positives.,Use this to understand how confident positive predictions can be at a chosen threshold.,0.95,cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,False
High Recall View,recall,Recall,1.0,1.0,1.0,1.0,True,dashboard_thresholds.csv,"Near-99 recall means most diabetic cases are caught, but it can create many false positives.","Use this as a safety-oriented operating view, not as overall accuracy.",0.0028,cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,True
High Specificity View,specificity,Specificity,0.9673972305269635,0.9658929075844558,0.9689015534694712,3.0,True,dashboard_thresholds.csv,High specificity means many non-diabetic cases are correctly left negative; it does not mean diabetic recall is high.,"Use this as a low-false-alarm operating view, not as overall accuracy.",0.75,cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,False
